n,i,c_g,c_TLg,c_TLg_time,c_g_time
35,0,7,7,0.026850191,2.90223057
35,1,7,7,0.026525633,2.751452458
35,2,11,11,0.026501456,2.775466325
35,3,7,7,0.026526066,2.74528979
35,4,7,7,0.026267158,2.801921613
35,5,5,5,0.026456961,2.72000286
35,6,9,9,0.069104044,2.352465976
35,7,4,4,0.021604405,2.342312493
35,8,5,5,0.02576898,2.359467889
35,9,9,9,0.026281561,2.348661325
35,10,7,7,0.026446028,2.31956937
35,11,6,6,0.026349417,2.447328141
35,12,5,5,0.026519551,2.308833482
35,13,4,3,0.026990126,2.377930766
35,14,5,5,0.027059992,2.315287491
35,15,5,5,0.027302332,2.412107997
35,16,5,5,0.026539691,2.436372386
35,17,5,5,0.077583827,2.272834308
35,18,7,7,0.019567435,2.353436905
35,19,4,4,0.026228918,2.349382906
35,20,4,4,0.025938626,2.334271189
35,21,7,7,0.026391274,2.342168343
35,22,6,6,0.026366983,2.377225785
35,23,7,7,0.026354295,2.307633042
35,24,4,3,0.026771771,2.371763916
35,25,5,5,0.027055171,2.322605748
35,26,5,5,0.0269573,2.343660341
35,27,5,5,0.026497368,2.385065464
35,28,7,7,0.026313647,2.341392903
35,29,5,5,0.061444667,2.329702009
40,0,11,11,0.041530462,4.611725397
40,1,5,5,0.045952141,4.887631847
40,2,5,5,0.046396618,4.816274933
40,3,6,6,0.046540637,5.01506352
40,4,16,16,0.047066216,4.759539
40,5,5,5,0.085211855,4.950299184
40,6,9,9,0.038096826,4.912795901
40,7,4,4,0.045342538,4.806187947
40,8,4,4,0.046490019,4.913425461
40,9,7,7,0.04638939,4.764316148
40,10,3,3,0.047331169,4.702495563
40,11,4,4,0.046750403,4.732116126
40,12,6,6,0.08003083,4.921595152
40,13,10,10,0.046672006,4.716325817
40,14,8,8,0.046552904,4.726300725
40,15,4,4,0.046446134,5.078044008
40,16,5,5,0.046797335,4.682747011
40,17,4,4,0.046697987,4.648963975
40,18,8,8,0.080556675,4.802001859
40,19,6,6,0.042490049,4.793488848
40,20,6,6,0.046094501,4.942314719
40,21,8,8,0.046713586,4.752901262
40,22,5,5,0.04668514,4.671378328
40,23,6,6,0.047527418,4.861371712
40,24,10,10,0.08471619,4.980996357
40,25,5,5,0.040594451,4.788710329
40,26,5,5,0.045424801,4.750007288
40,27,12,12,0.046506031,4.842667998
40,28,4,4,0.046458719,4.974290875
40,29,10,10,0.047100374,5.022863012
45,0,6,6,0.110460272,8.499666188
45,1,5,5,0.074078261,8.693361761
45,2,4,4,0.076777936,8.87991472
45,3,17,17,0.076630962,8.424734642
45,4,7,7,0.107901063,8.509819238
45,5,5,5,0.075363275,8.535577099
45,6,7,7,0.076872797,8.662596145
45,7,5,5,0.076474132,8.704816905
45,8,7,7,0.107749786,8.532870665
45,9,5,5,0.076038173,8.791720629
45,10,5,5,0.076800446,8.718830958
45,11,8,8,0.114899941,8.573194394
45,12,11,11,0.069404282,8.655022141
45,13,5,5,0.076817946,8.587420094
45,14,4,4,0.076686799,8.770554186
45,15,11,11,0.10751787,8.468781995
45,16,8,8,0.075557415,8.724349066
45,17,11,11,0.076787407,8.766428736
45,18,5,5,0.076495361,8.736604878
45,19,3,3,0.107458658,8.707565009
45,20,6,6,0.075552619,8.674935565
45,21,7,7,0.076892681,8.718402013
45,22,7,7,0.118069333,8.837191434
45,23,6,6,0.067554928,8.842842857
45,24,3,3,0.076324464,8.840887331
45,25,4,4,0.076839771,8.637523226
45,26,5,5,0.111896049,8.903492488
45,27,4,4,0.071631972,8.724574402
45,28,6,6,0.076758909,8.658379022
45,29,7,7,0.076645961,8.707016545
50,0,12,12,0.158388416,14.601368235
50,1,6,6,0.120278699,14.899697829
50,2,12,12,0.151240838,14.791058833
50,3,10,10,0.1192007,14.925753073
50,4,9,9,0.161438874,15.134031813
50,5,10,10,0.112960995,14.907250452
50,6,12,12,0.119950691,14.725670949
50,7,6,6,0.150158141,14.505290448
50,8,6,6,0.120239764,14.848804122
50,9,10,10,0.149903047,14.583298053
50,10,6,6,0.119766561,14.772046032
50,11,12,12,0.157417518,14.834278424
50,12,20,20,0.112918354,14.555119146
50,13,5,4,0.120378435,14.744486783
50,14,14,14,0.150566882,14.7285667
50,15,8,8,0.120425142,14.450062751
50,16,7,7,0.150649082,14.842536522
50,17,8,8,0.118973047,14.823093055
50,18,10,10,0.156396657,14.564506017
50,19,4,4,0.113907227,14.670134825
50,20,4,4,0.120017321,14.823685911
50,21,6,6,0.150704674,14.525920436
50,22,7,7,0.120211683,14.345309768
50,23,8,8,0.150820008,14.861594222
50,24,7,7,0.119645573,14.779516922
50,25,12,12,0.155380207,14.863071292
50,26,8,8,0.11600811,14.924708141
50,27,8,8,0.128259799,14.903533123
50,28,6,6,0.150696592,14.52583942
50,29,8,8,0.120499958,15.114737281
55,0,5,5,0.210358892,23.710592016
55,1,5,5,0.212441507,24.120473606
55,2,6,6,0.181562216,23.529445762
55,3,9,9,0.211874949,24.054576591
55,4,5,4,0.213110613,23.981492344
55,5,8,8,0.179903996,23.729981013
55,6,11,11,0.210325509,23.77203828
55,7,9,9,0.214094795,24.183210283
55,8,9,9,0.17880622,23.197590847
55,9,5,4,0.211237604,24.078817265
55,10,5,5,0.213687508,24.087818774
55,11,6,6,0.177708821,23.83452332
55,12,9,9,0.209963082,23.965732588
55,13,9,9,0.214637684,23.119883213
55,14,6,6,0.177748332,23.567301034
55,15,7,7,0.211104166,23.930490172
55,16,7,7,0.216293059,23.164411556
55,17,6,6,0.178810729,23.742298871
55,18,7,7,0.22099156,23.599535168
55,19,5,5,0.216390383,23.632855576
55,20,9,9,0.176051533,23.6845417
55,21,3,3,0.210884586,24.14807752
55,22,8,8,0.217215305,23.649118406
55,23,7,7,0.175331015,23.259708538
55,24,8,8,0.210703452,23.63029811
55,25,4,4,0.217742683,23.922085809
55,26,5,5,0.174936544,23.400324128
55,27,5,5,0.212136692,23.953186986
55,28,6,6,0.219156703,23.831151131
55,29,6,6,0.176794881,23.339651388
60,0,5,5,0.293992719,36.237807146
60,1,8,8,0.296218768,35.969177067
60,2,8,8,0.297433134,36.059261369
60,3,4,4,0.293810932,36.570096313
60,4,5,5,0.291427543,37.456225991
60,5,5,5,0.293604369,37.060522501
60,6,7,7,0.293976129,36.333989706
60,7,8,8,0.293421231,37.261547359
60,8,8,8,0.294505829,36.635492174
60,9,7,7,0.294300996,37.301543744
60,10,7,7,0.295194322,37.34329553
60,11,9,9,0.29678931,35.972468242
60,12,10,10,0.295563994,36.983720691
60,13,5,5,0.294708741,37.092087928
60,14,22,22,0.298090249,36.658852281
60,15,7,7,0.295466099,37.29711659
60,16,6,6,0.295408835,36.254394078
60,17,14,14,0.294484193,37.332477118
60,18,8,8,0.298178079,36.790120225
60,19,8,8,0.295221587,37.352427214
60,20,14,14,0.295580797,37.279187322
60,21,10,10,0.295946133,36.421417006
60,22,8,8,0.294135937,37.147475791
60,23,6,6,0.295128938,37.025292636
60,24,6,6,0.294342154,37.440215142
60,25,8,8,0.294185334,35.97476634
60,26,8,8,0.294068264,37.582900787
60,27,4,4,0.295079248,36.884027316
60,28,12,12,0.296934689,37.295503138
60,29,12,12,0.299737302,37.310419116
