n,i,c_g
35,0,7
35,1,7
35,2,11
35,3,7
35,4,7
35,5,5
35,6,9
35,7,4
35,8,5
35,9,9
35,10,7
35,11,6
35,12,5
35,13,4
35,14,5
35,15,5
35,16,5
35,17,5
35,18,7
35,19,4
35,20,4
35,21,7
35,22,6
35,23,7
35,24,4
35,25,5
35,26,5
35,27,5
35,28,7
35,29,5
40,0,11
40,1,5
40,2,5
40,3,6
40,4,16
40,5,5
40,6,9
40,7,4
40,8,4
40,9,7
40,10,3
40,11,4
40,12,6
40,13,10
40,14,8
40,15,4
40,16,5
40,17,4
40,18,8
40,19,6
40,20,6
40,21,8
40,22,5
40,23,6
40,24,10
40,25,5
40,26,5
40,27,12
40,28,4
40,29,10
45,0,6
45,1,5
45,2,4
45,3,17
45,4,7
45,5,5
45,6,7
45,7,5
45,8,7
45,9,5
45,10,5
45,11,8
45,12,11
45,13,5
45,14,4
45,15,11
45,16,8
45,17,11
45,18,5
45,19,3
45,20,6
45,21,7
45,22,7
45,23,6
45,24,3
45,25,4
45,26,5
45,27,4
45,28,6
45,29,7
50,0,12
50,1,6
50,2,12
50,3,10
50,4,9
50,5,10
50,6,12
50,7,6
50,8,6
50,9,10
50,10,6
50,11,12
50,12,20
50,13,5
50,14,14
50,15,8
50,16,7
50,17,8
50,18,10
50,19,4
50,20,4
50,21,6
50,22,7
50,23,8
50,24,7
50,25,12
50,26,8
50,27,8
50,28,6
50,29,8
55,0,5
55,1,5
55,2,6
55,3,9
55,4,5
55,5,8
55,6,11
55,7,9
55,8,9
55,9,5
55,10,5
55,11,6
55,12,9
55,13,9
55,14,6
55,15,7
55,16,7
55,17,6
55,18,7
55,19,5
55,20,9
55,21,3
55,22,8
55,23,7
55,24,8
55,25,4
55,26,5
55,27,5
55,28,6
55,29,6
60,0,5
60,1,8
60,2,8
60,3,4
60,4,5
60,5,5
60,6,7
60,7,8
60,8,8
60,9,7
60,10,7
60,11,9
60,12,10
60,13,5
60,14,22
60,15,7
60,16,6
60,17,14
60,18,8
60,19,8
60,20,14
60,21,10
60,22,8
60,23,6
60,24,6
60,25,8
60,26,8
60,27,4
60,28,12
60,29,12
