instance,size,time-colgen-itUB-CUT-heuLB,ub-colgen-itUB-CUT-heuLB,lb-colgen-itUB-CUT-heuLB,sol-colgen-itUB-CUT-heuLB,time-colgen-CUT-heuLB-liftD,ub-colgen-CUT-heuLB-liftD,lb-colgen-CUT-heuLB-liftD,sol-colgen-CUT-heuLB-liftD
r010-000,10,0.0962856,4,4,4,0.100086,5,4,4
r010-001,10,0.060494,4,4,4,0.0867616,7,4,4
r010-002,10,0.117866,3,2,2,0.249807,4,2,2
r010-003,10,0.0775447,4,4,4,0.0432186,6,4,4
r010-004,10,0.0749136,3,3,3,0.0737117,5,3,3
r010-005,10,0.051161,4,4,4,0.038128,4,4,4
r010-006,10,0.058718,4,4,4,0.0420227,6,4,4
r010-007,10,0.0601265,4,4,4,0.0428171,6,4,4
r010-008,10,0.0859301,3,3,3,0.0812377,5,3,3
r010-009,10,0.223855,3,2,2,0.228428,6,2,2
r010-010,10,0.0734892,4,4,4,0.0428458,5,4,4
r010-011,10,0.0656065,4,4,4,0.0391195,5,4,4
r010-012,10,0.0892179,3,3,3,0.0505425,4,3,3
r010-013,10,0.134976,3,2,2,0.16741,5,2,2
r010-014,10,0.0775746,4,4,4,0.0398642,5,4,4
r010-015,10,0.0691159,4,4,4,0.0448445,6,4,4
r010-016,10,0.0702824,4,4,4,0.0445895,6,4,4
r010-017,10,0.0946085,4,4,4,0.0412322,7,4,4
r010-018,10,0.0684165,6,6,6,0.0395007,7,6,6
r010-019,10,0.0798496,6,6,6,0.0473879,8,6,6
r010-020,10,0.0662191,4,4,4,0.0449749,7,4,4
r010-021,10,0.0591431,4,4,4,0.0478872,5,4,4
r010-022,10,0.092467,6,6,6,0.0439044,8,6,6
r010-023,10,0.0717083,4,4,4,0.0459247,7,4,4
r010-024,10,0.058131,4,4,4,0.0463169,6,4,4
r010-025,10,0.0755931,4,4,4,0.0406785,5,4,4
r010-026,10,0.0573102,3,3,3,0.0440787,4,3,3
r010-027,10,0.0659683,4,4,4,0.0370776,5,4,4
r010-028,10,0.0885826,4,4,4,0.0447255,7,4,4
r010-029,10,0.0846655,2,2,2,0.132476,4,2,2
r015-000,15,0.301215,4,4,4,0.189275,7,4,4
r015-001,15,0.173778,5,5,5,0.0955249,7,5,5
r015-002,15,0.293773,4,4,4,0.192707,8,4,4
r015-003,15,0.262763,3,3,3,0.465343,6,3,3
r015-004,15,0.194787,5,5,5,0.101832,7,5,5
r015-005,15,0.174038,5,5,5,0.112092,7,5,5
r015-006,15,0.191833,5,5,5,0.11576,7,5,5
r015-007,15,0.478476,4,4,4,0.530368,7,4,4
r015-008,15,0.161867,9,9,9,0.0914256,10,9,9
r015-009,15,0.335327,4,4,4,0.343246,7,4,4
r015-010,15,0.342747,3,3,3,1.57322,8,3,3
r015-011,15,1.20323,4,3,3,1.05083,7,3,3
r015-012,15,0.243494,3,3,3,0.513017,6,3,3
r015-013,15,0.352388,3,3,3,0.661588,6,3,3
