instance,size,time-relax,gap-relax,ub-relax,lb-relax,sol-relax,time-relax-heuLB,gap-relax-heuLB,ub-relax-heuLB,lb-relax-heuLB,sol-relax-heuLB,time-relax-CUT-heuLB,gap-relax-CUT-heuLB,ub-relax-CUT-heuLB,lb-relax-CUT-heuLB,sol-relax-CUT-heuLB,time-relax-itUB-CUT-heuLB,gap-relax-itUB-CUT-heuLB,ub-relax-itUB-CUT-heuLB,lb-relax-itUB-CUT-heuLB,sol-relax-itUB-CUT-heuLB
r010-000,10,0.114231,0.1864412295,5,1,4.91667,0.0262412,0,5,4,4,0.0269289,0,5,4,4,0.0810936,0,4,4,4
r010-001,10,0.0949194,0.4136126882,7,1,6.82143,0.0384569,0,7,4,4,0.0347436,0,7,4,4,0.070788,0,4,4,4
r010-002,10,0.069098,0.4930073032,4,1,3.94483,0.0639895,0.4930073032,4,2,3.94483,0.0626229,0.4882148679,4,2,3.90789,0.234278,0.3333333333,3,2,3
r010-003,10,0.104011,0.3191489362,6,1,5.875,0.0360228,0,6,4,4,0.0344864,0,6,4,4,0.0726419,0,4,4,4
r010-004,10,0.0662123,0.3895354161,5,1,4.91429,0.0411603,0.3697478992,5,3,4.76,0.037553,0.3333333333,5,3,4.5,0.104701,0,3,3,3
r010-005,10,0.0581872,0,4,1,4,0.0255641,0,4,4,4,0.0237841,0,4,4,4,0.0474807,0,4,4,4
r010-006,10,0.117941,0.31999966,6,1,5.88235,0.0344367,0,6,4,4,0.0363812,0,6,4,4,0.0792025,0,4,4,4
r010-007,10,0.120533,0.3181822056,6,1,5.86667,0.036993,0,6,4,4,0.0381253,0,6,4,4,0.0835537,0,4,4,4
r010-008,10,0.0947862,0.394263677,5,1,4.95265,0.052471,0.3801652893,5,3,4.84,0.0517162,0.3333333333,5,3,4.5,0.139637,0,3,3,3
r010-009,10,0.0983133,0.6602868538,6,1,5.88732,0.0804774,0.6602868538,6,2,5.88732,0.0761031,0.6149069519,6,2,5.19355,0.389721,0.5,4,2,4
r010-010,10,0.0949332,0.1882359149,5,1,4.92754,0.0316573,0,5,4,4,0.0319606,0,5,4,4,0.07284,0,4,4,4
r010-011,10,0.0672117,0.1864412295,5,1,4.91667,0.0260828,0,5,4,4,0.0307309,0,5,4,4,0.0632119,0,4,4,4
r010-012,10,0.0611856,0.2330817842,4,1,3.91176,0.0481812,0.1818189256,4,3,3.66667,0.035817,0,4,3,3,0.0708955,0,3,3,3
r010-013,10,0.0675471,0.590551568,5,1,4.88462,0.0620579,0.590551568,5,2,4.88462,0.100209,0.5342468305,5,2,4.29412,0.217933,0.3333333333,3,2,3
r010-014,10,0.0729895,0.1871653407,5,1,4.92105,0.0289954,0,5,4,4,0.0291636,0,5,4,4,0.0630849,0,4,4,4
r010-015,10,0.116762,0.3230768189,6,1,5.90909,0.0510091,0,6,4,4,0.0361154,0,6,4,4,0.0912073,0,4,4,4
r010-016,10,0.108013,0.3228350189,6,1,5.90698,0.0356919,0,6,4,4,0.0369016,0,6,4,4,0.0738766,0,4,4,4
r010-017,10,0.214795,0.4176244318,7,1,6.86842,0.0401372,0,7,4,4,0.0383624,0,7,4,4,0.0805358,0,4,4,4
r010-018,10,0.234229,0.1345250923,7,1,6.93261,0.0335078,0,7,6,6,0.0340071,0,7,6,6,0.0743788,0,6,6,6
r010-019,10,0.20106,0.2438020122,8,1,7.93443,0.0371613,0,8,6,6,0.0331081,0,8,6,6,0.0834891,0,6,6,6
r010-020,10,0.102278,0.4184398194,7,1,6.87805,0.0390972,0,7,4,4,0.0407741,0,7,4,4,0.0824519,0,4,4,4
r010-021,10,0.091354,0.1949555917,5,1,4.96867,0.0375264,0.1724132224,5,4,4.83333,0.0377151,0.1111111111,5,4,4.5,0.0776197,0,4,4,4
r010-022,10,0.228923,0.2398192797,8,1,7.89286,0.0297882,0,8,6,6,0.026793,0,8,6,6,0.0710397,0,6,6,6
r010-023,10,0.194069,0.4206517378,7,1,6.90431,0.0476075,0,7,4,4,0.0469706,0,7,4,4,0.0944255,0,4,4,4
r010-024,10,0.120352,0.3181822056,6,1,5.86667,0.0345418,0,6,4,4,0.0350937,0,6,4,4,0.0722461,0,4,4,4
r010-025,10,0.0639825,0.1851850343,5,1,4.90909,0.0283199,0,5,4,4,0.0304648,0,5,4,4,0.0634231,0,4,4,4
r010-026,10,0.0546526,0.2346040607,4,1,3.91954,0.029734,0.2,4,3,3.75,0.0322921,0,4,3,3,0.108901,0,3,3,3
r010-027,10,0.103127,0.1860472215,5,1,4.91429,0.033366,0,5,4,4,0.0326558,0,5,4,4,0.0706095,0,4,4,4
r010-028,10,0.134555,0.4202898551,7,1,6.9,0.0386478,0,7,4,4,0.0416512,0,7,4,4,0.0892057,0,4,4,4
r010-029,10,0.0676243,0.4909089058,4,1,3.92857,0.0604518,0.4909089058,4,2,3.92857,0.0859061,0.4571427796,4,2,3.68421,0.225707,0,2,2,2
r015-000,15,1.03496,0.4258557262,7,1,6.96689,0.434591,0.4090908419,7,4,6.76923,0.270119,0.36,7,4,6.25,0.88814,0,4,4,4
r015-001,15,0.928385,0.281901181,7,1,6.96283,0.179555,0,7,5,5,0.160617,0,7,5,5,0.39475,0,5,5,5
r015-002,15,0.85247,0.4978211716,8,1,7.96529,0.306863,0.4782610964,8,4,7.66667,0.426258,0.3855795521,8,4,6.5102,0.846388,0,4,4,4
