instance,size,time-itUB-CUT-heuLB,ub-itUB-CUT-heuLB,lb-itUB-CUT-heuLB,sol-itUB-CUT-heuLB,time-CUT-heuLB,ub-CUT-heuLB,lb-CUT-heuLB,sol-CUT-heuLB
r010-000,10,0.0602932,4,4,4,0.0423579,5,4,4
r010-001,10,0.127637,4,4,4,0.0302687,7,4,4
r010-002,10,0.136738,3,2,2,0.0687872,4,2,2
r010-003,10,0.0749005,4,4,4,0.0288322,6,4,4
r010-004,10,0.10396,3,3,3,0.0353371,5,3,3
r010-005,10,0.0479149,4,4,4,0.0232279,4,4,4
r010-006,10,0.0762631,4,4,4,0.0315943,6,4,4
r010-007,10,0.077672,4,4,4,0.0309752,6,4,4
r010-008,10,0.141284,3,3,3,0.0474318,5,3,3
r010-009,10,0.295735,4,2,2,0.114405,6,2,2
r010-010,10,0.125089,4,4,4,0.0277951,5,4,4
r010-011,10,0.0608674,4,4,4,0.023122,5,4,4
r010-012,10,0.0710375,3,3,3,0.0270638,4,3,3
r010-013,10,0.1731,3,2,2,0.081415,5,2,2
r010-014,10,0.0651974,4,4,4,0.0243136,5,4,4
r010-015,10,0.0790102,4,4,4,0.0325057,6,4,4
r010-016,10,0.120634,4,4,4,0.0294786,6,4,4
r010-017,10,0.096496,4,4,4,0.0325766,7,4,4
r010-018,10,0.0779306,6,6,6,0.0281825,7,6,6
r010-019,10,0.0808972,6,6,6,0.0377116,8,6,6
r010-020,10,0.0788022,4,4,4,0.0434165,7,4,4
r010-021,10,0.0786715,4,4,4,0.0299215,5,4,4
r010-022,10,0.0702053,6,6,6,0.0268702,8,6,6
r010-023,10,0.0942786,4,4,4,0.0392802,7,4,4
r010-024,10,0.0731486,4,4,4,0.0301119,6,4,4
r010-025,10,0.0674881,4,4,4,0.0247102,5,4,4
r010-026,10,0.0721062,3,3,3,0.0258524,4,3,3
r010-027,10,0.0693607,4,4,4,0.0252077,5,4,4
r010-028,10,0.133027,4,4,4,0.0352047,7,4,4
r010-029,10,0.132497,2,2,2,0.0581811,4,2,2
r015-000,15,0.834734,4,4,4,0.370446,7,4,4
r015-001,15,0.396322,5,5,5,0.148709,7,5,5
r015-002,15,0.912154,4,4,4,0.319502,8,4,4
